Steps out_loss reg_loss point_loss train_accuracy time memory
125 0.199 26.652 8.311 0.92 38.34 4307.0
126 0.448 26.667 7.936 0.85 38.46 4307.0
127 0.474 26.682 8.172 0.85 38.61 4307.0
128 0.252 26.698 8.169 0.90 38.76 4307.0
129 0.335 26.713 7.592 0.88 38.88 4307.0
130 0.261 26.727 7.884 0.89 39.02 4307.0
131 0.252 26.742 7.688 0.91 39.16 4307.0
132 0.342 26.756 7.932 0.89 39.29 4307.0
133 0.292 26.771 8.054 0.89 39.42 4307.0
134 0.299 26.784 8.365 0.89 39.56 4307.0
135 0.319 26.798 7.493 0.88 39.68 4307.0
136 0.271 26.812 7.273 0.89 39.81 4307.0
137 0.237 26.825 7.668 0.90 39.92 4307.0
138 0.436 26.838 7.229 0.84 40.05 4307.0
139 0.309 26.850 7.432 0.88 40.18 4307.0
141 0.267 26.863 7.207 0.88 41.88 4307.0
142 0.354 26.875 6.930 0.87 42.02 4307.0
143 0.314 26.888 7.390 0.88 42.17 4307.0
144 0.238 26.900 8.347 0.89 42.31 4307.0
145 0.247 26.913 7.413 0.90 42.45 4307.0
146 0.276 26.925 7.543 0.88 42.58 4307.0
147 0.294 26.938 7.874 0.89 42.70 4307.0
148 0.220 26.950 7.728 0.91 42.82 4307.0
149 0.223 26.962 9.069 0.91 42.96 4307.0
150 0.397 26.975 8.532 0.85 43.10 4307.0
151 0.269 26.987 10.117 0.89 43.24 4307.0
152 0.317 27.000 9.233 0.87 43.38 4307.0
153 0.255 27.012 10.537 0.90 43.52 4307.0
154 0.212 27.025 11.097 0.91 43.66 4307.0
155 0.207 27.038 11.713 0.91 43.76 4307.0
157 0.271 27.051 13.815 0.89 45.49 4307.0
158 0.258 27.063 13.437 0.89 45.63 4307.0
159 0.257 27.075 12.264 0.90 45.77 4307.0
160 0.238 27.087 13.075 0.90 45.90 4307.0
161 0.298 27.099 13.842 0.89 46.04 4307.0
162 0.310 27.110 12.898 0.88 46.19 4307.0
163 0.302 27.121 12.444 0.87 46.33 4307.0
164 0.222 27.133 11.552 0.93 46.48 4307.0
165 0.285 27.144 10.233 0.91 46.60 4307.0
166 0.208 27.155 10.466 0.93 46.75 4307.0
167 0.218 27.167 9.075 0.92 46.88 4307.0
168 0.310 27.179 8.977 0.88 47.00 4307.0
169 0.255 27.192 9.062 0.91 47.12 4307.0
170 0.263 27.204 8.374 0.89 47.26 4307.0
171 0.328 27.217 7.781 0.89 47.33 4307.0
173 0.248 27.230 10.774 0.90 49.05 4307.0
174 0.228 27.243 9.218 0.92 49.19 4307.0
175 0.266 27.255 10.968 0.89 49.33 4307.0
176 0.264 27.268 9.816 0.89 49.46 4307.0
177 0.274 27.280 10.442 0.90 49.60 4307.0
178 0.233 27.292 10.293 0.90 49.75 4307.0
179 0.327 27.304 11.146 0.87 49.89 4307.0
180 0.267 27.315 9.701 0.90 50.03 4307.0
181 0.227 27.326 10.241 0.91 50.17 4307.0
182 0.215 27.337 9.817 0.93 50.29 4307.0
183 0.203 27.348 9.553 0.92 50.42 4307.0
184 0.255 27.358 9.753 0.89 50.56 4307.0
185 0.253 27.369 9.476 0.89 50.71 4307.0
186 0.290 27.379 9.491 0.88 50.84 4307.0
188 0.258 27.388 8.671 0.91 52.80 4307.0
189 0.261 27.397 8.811 0.89 52.96 4307.0
190 0.241 27.406 8.719 0.91 53.11 4307.0
191 0.247 27.414 8.894 0.90 53.26 4307.0
192 0.244 27.422 8.348 0.90 53.46 4307.0
193 0.232 27.430 8.426 0.90 53.62 4307.0
194 0.236 27.438 8.178 0.90 53.76 4307.0
195 0.220 27.445 7.949 0.92 53.90 4307.0
196 0.231 27.453 8.428 0.91 54.05 4307.0
197 0.242 27.460 8.915 0.90 54.20 4307.0
198 0.286 27.467 8.859 0.89 54.39 4307.0
199 0.298 27.473 9.016 0.89 54.52 4307.0
200 0.412 27.479 8.611 0.84 54.67 4307.0
201 0.299 27.485 8.515 0.89 54.78 4307.0
203 0.268 27.491 8.862 0.90 56.51 4307.0
204 0.240 27.496 8.982 0.91 56.66 4307.0
205 0.274 27.500 8.071 0.89 56.81 4307.0
206 0.230 27.505 8.011 0.91 56.95 4307.0
207 0.258 27.509 7.913 0.90 57.09 4307.0
208 0.307 27.513 7.974 0.88 57.22 4307.0
209 0.319 27.516 7.417 0.88 57.36 4307.0
210 0.256 27.519 8.205 0.90 57.51 4307.0
211 0.260 27.522 7.874 0.90 57.66 4307.0
212 0.241 27.524 7.693 0.90 57.81 4307.0
213 0.248 27.526 7.541 0.90 57.96 4307.0
214 0.269 27.528 7.586 0.89 58.09 4307.0
215 0.420 27.530 7.199 0.83 58.22 4307.0
216 0.269 27.531 6.987 0.90 58.32 4307.0
218 0.347 27.532 7.194 0.85 60.04 4307.0
219 0.246 27.532 6.910 0.90 60.19 4307.0
220 0.233 27.532 6.486 0.91 60.34 4307.0
221 0.264 27.532 6.818 0.89 60.48 4307.0
222 0.218 27.532 6.935 0.92 60.63 4307.0
223 0.262 27.531 6.411 0.89 60.76 4307.0
224 0.298 27.530 6.118 0.88 60.89 4307.0
225 0.252 27.529 6.414 0.91 61.04 4307.0
226 0.290 27.527 6.286 0.88 61.19 4307.0
227 0.407 27.525 6.091 0.84 61.33 4307.0
228 0.320 27.523 6.248 0.88 61.47 4307.0
229 0.252 27.521 5.997 0.90 61.61 4307.0
230 0.241 27.518 6.217 0.92 61.74 4307.0
231 0.227 27.515 5.594 0.91 61.86 4307.0
233 0.274 27.512 5.977 0.89 63.58 4307.0
234 0.232 27.509 6.369 0.91 63.73 4307.0
235 0.254 27.506 5.824 0.90 63.87 4307.0
236 0.214 27.503 6.003 0.92 64.00 4307.0
237 0.304 27.499 6.881 0.88 64.14 4307.0
238 0.382 27.495 6.669 0.85 64.26 4307.0
239 0.201 27.491 6.185 0.92 64.41 4307.0
240 0.220 27.487 6.614 0.91 64.55 4307.0
241 0.219 27.482 6.170 0.93 64.69 4307.0
242 0.271 27.478 8.080 0.90 64.83 4307.0
243 0.173 27.473 7.533 0.94 64.97 4307.0
244 0.288 27.467 6.833 0.89 65.11 4307.0
245 0.188 27.462 7.301 0.92 65.24 4307.0
246 0.276 27.456 6.850 0.89 65.37 4307.0
248 0.237 27.451 7.396 0.90 67.12 4307.3
249 0.199 27.445 6.525 0.92 67.27 4307.3
250 0.284 27.439 6.395 0.89 67.42 4307.3
251 0.253 27.432 6.870 0.90 67.56 4307.3
252 0.211 27.426 6.398 0.91 67.67 4307.3
253 0.246 27.419 6.339 0.91 67.82 4307.3
254 0.220 27.412 6.348 0.92 67.96 4307.3
255 0.258 27.404 5.744 0.90 68.10 4307.3
256 0.329 27.397 6.086 0.86 68.24 4307.3
257 0.266 27.389 6.092 0.90 68.38 4307.3
